year	Jan	Feb	Mar	Q1	Apr	May	Jun	Q2	Jul	Aug	Sep	Q3	Oct	Nov	Dec	Q4	Total
2018	1,027	991	1,563	3,581	1,279	1,479	915	3,674	1,497	1,930	NA	3,427	NA	NA	NA	10,681	NA
2017	1,047	1,042	988	3,077	866	956	1,058	2,880	1,174	1,317	1,255	3,745	1,473	1,160	1,261	3,894	13,595	
2016	559	1,007	1,211	2,777	1,131	1,134	1,227	3,492	849	902	771	2,521	1,058	1,301	1,045	3,403	12,193	
2015	627	745	1,330	2,703	1,126	1,387	1,220	3,733	1,119	1,103	829	3,051	1,064	756	947	2,767	12,254	
2014	1,084	946	1,161	3,191	1,094	861	1,068	3,023	1,308	1,126	1,059	3,492	708	818	1,180	2,705	12,412	
2013	1,069	996	779	2,844	966	1,329	1,232	3,527	1,241	961	782	2,984	1,063	1,010	1,073	3,145	12,500	
2012	1,029	542	1,042	2,612	864	1,683	1,486	4,033	1,148	1,086	453	2,687	756	904	602	2,261	11,594	
2011	845	736	976	2,557	1,208	1,043	1,694	3,945	1,253	1,140	1,234	3,627	1,186	1,114	914	3,213	13,342	
2010	399	347	394	1,140	592	986	1,049	2,627	1,682	1,279	880	3,841	364	549	885	1,798	9,405	
2009	399	301	433	1,133	661	584	509	1,754	839	675	727	2,241	581	438	404	1,423	6,551	
2018	176,731	171,580	194,774	543,085	191,533	210,065	184,125	585,723	192,991	190,209	NA	383,200	NA	NA	NA	1,512,008	NA	
2017	169,654	167,845	193,311	530,811	158,078	204,061	181,191	543,330	165,996	180,457	180,829	527,282	175,379	179,872	145,800	501,050	2,102,473	
2016	158,708	173,663	195,017	527,387	174,156	188,912	184,627	547,694	154,906	197,106	165,397	517,410	161,917	166,252	158,462	486,631	2,079,122	
2015	155,387	167,114	190,342	512,842	182,268	183,769	171,908	537,945	168,640	172,076	184,634	525,350	168,110	159,993	163,769	491,872	2,068,008	
2014	160,040	161,601	173,355	494,996	180,112	181,127	179,854	541,092	173,436	163,090	171,968	508,495	171,940	148,091	173,722	493,752	2,038,335	
2013	166,067	156,377	170,806	493,250	174,951	194,327	159,371	528,649	168,883	164,194	162,602	495,680	171,249	140,892	168,182	480,322	1,997,901	
2012	163,088	153,574	158,646	475,307	169,682	186,386	154,731	510,798	161,294	170,705	146,531	478,530	162,209	153,168	147,733	463,110	1,927,746	
2011	150,106	150,447	158,165	458,717	156,898	165,687	169,271	491,856	143,036	162,548	146,057	451,641	157,725	146,094	139,518	443,336	1,845,550	
2010	123,467	126,376	143,764	393,607	132,036	136,434	133,079	401,549	150,561	141,468	144,894	436,922	146,285	152,141	133,595	432,021	1,664,099	
2009	99,169	99,246	131,644	330,060	118,873	130,438	124,911	374,221	122,411	121,966	131,002	375,379	125,806	122,491	126,915	375,211	1,454,871	
2018	2,450	3,061	2,567	8,079	2,932	3,706	3,819	10,457	2,972	3,398	NA	6,370	NA	NA	NA	24,906	NA	
2017	2,343	1,925	2,361	6,629	1,868	1,919	2,034	5,821	1,928	2,009	1,990	5,927	2,196	2,182	1,956	6,335	24,712	
2016	1,247	1,453	1,921	4,621	1,460	2,355	2,448	6,263	1,967	2,511	2,266	6,743	2,735	2,185	2,059	6,979	24,607	
2015	917	1,374	2,030	4,321	1,770	1,762	2,150	5,682	2,101	1,782	2,339	6,222	1,912	1,599	1,345	4,857	21,082	
2014	1,334	1,149	1,709	4,192	1,760	1,627	1,622	5,009	1,988	1,889	1,678	5,554	1,777	1,797	1,399	4,972	19,728	
2013	627	1,031	1,209	2,867	1,457	1,422	1,834	4,713	1,630	1,590	940	4,160	865	1,159	1,076	3,100	14,840	
2012	787	1,032	1,164	2,984	1,232	1,264	1,450	3,947	1,353	1,623	1,379	4,355	1,274	1,364	1,269	3,907	15,192	
2011	752	869	976	2,597	1,269	1,430	1,570	4,268	1,602	1,011	1,086	3,699	1,016	863	601	2,480	13,044	
2010	704	839	771	2,314	968	1,148	1,176	3,292	1,315	1,194	1,026	3,536	977	1,065	784	2,826	11,968	
2009	239	296	528	1,063	471	712	973	2,156	677	725	836	2,237	571	678	790	2,039	7,495	
2018	11,982	11,779	14,951	38,712	14,335	15,577	11,870	41,781	12,856	12,594	NA	25,450	NA	NA	NA	105,943	NA	
2017	11,210	9,528	10,737	31,475	10,679	13,015	11,708	35,403	11,221	12,576	12,065	35,862	11,637	12,196	11,349	35,183	137,922	
2016	9,471	9,412	12,061	30,944	11,257	13,226	11,889	36,371	10,408	11,663	10,738	32,809	10,610	9,376	10,188	30,174	130,298	
2015	7,904	9,851	11,153	28,909	10,624	11,244	10,708	32,576	11,473	10,683	10,475	32,630	10,529	9,890	9,402	29,821	123,937	
2014	6,505	7,363	11,432	25,300	9,916	10,449	10,596	30,962	10,007	9,791	9,148	28,946	9,040	8,695	10,054	27,789	112,997	
2013	7,033	7,794	8,595	23,422	9,191	10,470	9,998	29,659	9,912	8,291	6,908	25,111	8,966	7,381	7,784	24,131	102,323	
2012	6,901	5,782	7,641	20,325	8,524	9,187	10,144	27,855	9,061	8,366	8,537	25,965	8,119	7,910	8,003	24,032	98,177	
2011	5,085	4,824	7,142	17,050	7,403	7,838	7,378	22,619	7,941	7,510	6,203	21,653	7,121	6,876	5,847	19,844	81,166	
2010	4,085	3,548	5,945	13,579	5,704	5,071	6,196	16,970	5,917	5,462	5,547	16,926	5,623	5,370	5,491	16,484	63,959	
2009	3,879	3,646	5,361	12,886	5,065	4,307	5,245	14,617	4,445	4,303	3,942	12,690	4,168	4,540	4,501	13,209	53,403	
