DATE,value,feature,commodity
1980-01-01,401.960838679536,bananas (U.S. Dollars per Metric Ton),bananas
1980-02-01,372.18596368787905,bananas (U.S. Dollars per Metric Ton),bananas
1980-03-01,422.91353627875,bananas (U.S. Dollars per Metric Ton),bananas
1980-04-01,395.89557857615,bananas (U.S. Dollars per Metric Ton),bananas
1980-05-01,444.96897975985803,bananas (U.S. Dollars per Metric Ton),bananas
1980-06-01,342.411088696222,bananas (U.S. Dollars per Metric Ton),bananas
1980-07-01,351.784665321773,bananas (U.S. Dollars per Metric Ton),bananas
1980-08-01,342.411088696221,bananas (U.S. Dollars per Metric Ton),bananas
1980-09-01,352.88743749582903,bananas (U.S. Dollars per Metric Ton),bananas
1980-10-01,325.31810685228197,bananas (U.S. Dollars per Metric Ton),bananas
1980-11-01,379.35399596532005,bananas (U.S. Dollars per Metric Ton),bananas
1980-12-01,369.980419339768,bananas (U.S. Dollars per Metric Ton),bananas
1981-01-01,387.624800416816,bananas (U.S. Dollars per Metric Ton),bananas
1981-02-01,435.59542942646794,bananas (U.S. Dollars per Metric Ton),bananas
1981-03-01,459.30514948339004,bananas (U.S. Dollars per Metric Ton),bananas
1981-04-01,425.670453567808,bananas (U.S. Dollars per Metric Ton),bananas
1981-05-01,449.931467689188,bananas (U.S. Dollars per Metric Ton),bananas
1981-06-01,388.176173357763,bananas (U.S. Dollars per Metric Ton),bananas
1981-07-01,329.729195548504,bananas (U.S. Dollars per Metric Ton),bananas
1981-08-01,305.468181427123,bananas (U.S. Dollars per Metric Ton),bananas
1981-09-01,435.044030193359,bananas (U.S. Dollars per Metric Ton),bananas
1981-10-01,389.278945531818,bananas (U.S. Dollars per Metric Ton),bananas
1981-11-01,395.89557857615,bananas (U.S. Dollars per Metric Ton),bananas
1981-12-01,416.29690323441804,bananas (U.S. Dollars per Metric Ton),bananas
1982-01-01,425.119080626861,bananas (U.S. Dollars per Metric Ton),bananas
1982-02-01,383.21368542843203,bananas (U.S. Dollars per Metric Ton),bananas
1982-03-01,421.81076410469495,bananas (U.S. Dollars per Metric Ton),bananas
1982-04-01,476.397999866517,bananas (U.S. Dollars per Metric Ton),bananas
1982-05-01,438.35234671552496,bananas (U.S. Dollars per Metric Ton),bananas
1982-06-01,399.75529433142503,bananas (U.S. Dollars per Metric Ton),bananas
1982-07-01,326.972251967284,bananas (U.S. Dollars per Metric Ton),bananas
1982-08-01,302.71123784590304,bananas (U.S. Dollars per Metric Ton),bananas
1982-09-01,347.924949566498,bananas (U.S. Dollars per Metric Ton),bananas
1982-10-01,299.402921323737,bananas (U.S. Dollars per Metric Ton),bananas
1982-11-01,333.03751207067,bananas (U.S. Dollars per Metric Ton),bananas
1982-12-01,342.962461637168,bananas (U.S. Dollars per Metric Ton),bananas
1983-01-01,338.0,bananas (U.S. Dollars per Metric Ton),bananas
1983-02-01,380.3,bananas (U.S. Dollars per Metric Ton),bananas
1983-03-01,406.8,bananas (U.S. Dollars per Metric Ton),bananas
1983-04-01,479.3,bananas (U.S. Dollars per Metric Ton),bananas
1983-05-01,554.2,bananas (U.S. Dollars per Metric Ton),bananas
1983-06-01,504.6,bananas (U.S. Dollars per Metric Ton),bananas
1983-07-01,503.1,bananas (U.S. Dollars per Metric Ton),bananas
1983-08-01,464.1,bananas (U.S. Dollars per Metric Ton),bananas
1983-09-01,418.9,bananas (U.S. Dollars per Metric Ton),bananas
1983-10-01,411.5,bananas (U.S. Dollars per Metric Ton),bananas
