year,commodity_x,feature_x,variable,value_bnn_1000_usd,value_bnn_1000_pounds,timestamp,feature_y,commodity_y,value_orng_1000_usd,value_orng_1000_pounds
2017,banana,dried bananas,Jan,1047.0,525.0,"Jan, 2017",fresh oranges,orange,4436.0,14504.0
2017,banana,dried bananas,Jan,1047.0,525.0,"Jan, 2017",orange juice,orange,82891.0,52970.0
2017,banana,dried bananas,Jan,1047.0,525.0,"Jan, 2017",preserved oranges,orange,1054.0,1161.0
2017,banana,dried bananas,Jan,1047.0,848217.0,"Jan, 2017",fresh oranges,orange,4436.0,14504.0
2017,banana,dried bananas,Jan,1047.0,848217.0,"Jan, 2017",orange juice,orange,82891.0,52970.0
2017,banana,dried bananas,Jan,1047.0,848217.0,"Jan, 2017",preserved oranges,orange,1054.0,1161.0
2017,banana,fresh bananas,Jan,169654.0,4344.0,"Jan, 2017",fresh oranges,orange,4436.0,14504.0
2017,banana,fresh bananas,Jan,169654.0,4344.0,"Jan, 2017",orange juice,orange,82891.0,52970.0
2017,banana,fresh bananas,Jan,169654.0,4344.0,"Jan, 2017",preserved oranges,orange,1054.0,1161.0
2017,banana,fresh bananas,Jan,169654.0,24468.0,"Jan, 2017",fresh oranges,orange,4436.0,14504.0
2017,banana,fresh bananas,Jan,169654.0,24468.0,"Jan, 2017",orange juice,orange,82891.0,52970.0
2017,banana,fresh bananas,Jan,169654.0,24468.0,"Jan, 2017",preserved oranges,orange,1054.0,1161.0
2016,banana,dried bananas,Jan,559.0,203.0,"Jan, 2016",fresh oranges,orange,2444.0,12385.0
2016,banana,dried bananas,Jan,559.0,203.0,"Jan, 2016",orange juice,orange,79315.0,47110.0
2016,banana,dried bananas,Jan,559.0,203.0,"Jan, 2016",preserved oranges,orange,998.0,1153.0
2016,banana,dried bananas,Jan,559.0,788484.0,"Jan, 2016",fresh oranges,orange,2444.0,12385.0
2016,banana,dried bananas,Jan,559.0,788484.0,"Jan, 2016",orange juice,orange,79315.0,47110.0
2016,banana,dried bananas,Jan,559.0,788484.0,"Jan, 2016",preserved oranges,orange,998.0,1153.0
2016,banana,fresh bananas,Jan,158708.0,2215.0,"Jan, 2016",fresh oranges,orange,2444.0,12385.0
2016,banana,fresh bananas,Jan,158708.0,2215.0,"Jan, 2016",orange juice,orange,79315.0,47110.0
2016,banana,fresh bananas,Jan,158708.0,2215.0,"Jan, 2016",preserved oranges,orange,998.0,1153.0
2016,banana,fresh bananas,Jan,158708.0,19189.0,"Jan, 2016",fresh oranges,orange,2444.0,12385.0
2016,banana,fresh bananas,Jan,158708.0,19189.0,"Jan, 2016",orange juice,orange,79315.0,47110.0
2016,banana,fresh bananas,Jan,158708.0,19189.0,"Jan, 2016",preserved oranges,orange,998.0,1153.0
