OBJECTID	PASS_SPEED	FRT_SPEED	MAXSPD	NUM_TRACK	POLYLINE
644.0	90.0	1055.0	90.0	1	bfkkUkapiEpGaIdGwHtGgI
1667.0	0.0	520.0	20.0	1	jninUwdwlEGkN
127.0	79.0	3070.0	79.0	1	xzjyUks`}E@|@?pF?nIAlF@fJAtIBrAAlJ@vIC~KAnG?bH@l@A~I?pJ?fBBhHA`A
754.0	90.0	1055.0	90.0	2	rgfmUqfwkEOuOEeD@yHD_FP}Fn@oMHmCBgBAwBC_Bu@}VGgBAkAImCe@yOKgEIkDAYA_@U}Fg@cMQuE
1086.0	79.0	2550.0	79.0	2	ltmkU{venEAmC@u@Ca@Cm@Ko@Mi@[aAWm@[g@]c@]c@w@s@aAs@iAu@iAu@sEyCqBuAkBuAqAaAmAiAcAgAs@{@o@aAk@{@o@qA]{@]{@Y{@Qw@WiAIk@QcAMwAQ{Da@qJOuBYwBOkAY{AQ{@Og@a@}A]gA]_Ak@uA[s@i@kAa@q@a@s@u@kA
1085.0	79.0	2550.0	79.0	3	|vkkUwminEk@{@_O}TOU_EwGyIaO
2550.0	79.0	1060.0	79.0	1	fpecVg}xeFDpc@
2577.0	0.0	10.0	10.0	1	v|faVmeycFsNpK
2581.0	0.0	10.0	10.0	1	bmfaV{xxcFykC`pBs\zT_HfGqFlBmEP
2582.0	0.0	10.0	10.0	1	tk`aVuetcFuf@A
2687.0	79.0	1560.0	60.0	2	volfVgkkbF_`Alf@}bCfnAwUhLcc@`Qkr@pV
2727.0	0.0	5.0	5.0	1	tj~hVoewcFjBaE\qAB{AmE_JiCcCqDsG_OuTuAiAkDi@{A_@iCyA_A_AgBmD?{K[eFKmHaDsN}BcJoJ}a@s@yCaR}e@iLeY
2162.0	79.0	1050.0	79.0	2	ptkiVcvueF{Df@
2173.0	79.0	1060.0	79.0	1	fhygVojodFvBeB
2163.0	79.0	1050.0	79.0	1	xdliVipueFiLg@}A[aEeB
2164.0	79.0	1050.0	79.0	1	|sliVanueF{LeAg@A
2165.0	79.0	1050.0	79.0	1	pboiVcaueFeW}AeSiB{MqAgFa@m@IiAQmCi@w@MeAM
2166.0	79.0	1050.0	79.0	1	hrsiVkvueFa\pGskAbPsKQmX{B
2167.0	79.0	1050.0	79.0	2	bc_iVqspeFr@c@xMgI
744.0	90.0	1055.0	90.0	2	xf`nUkxvlEbC_BnDwBhLgH
645.0	90.0	1055.0	90.0	1	jckkUe~oiEvAeB
2170.0	79.0	1050.0	79.0	1	z{uhV{`ieFouApjAyaAly@
2171.0	79.0	1050.0	79.0	1	pbqhV{zdeF{E|D
1565.0	79.0	2575.0	79.0	1	fme`Uwe~iEcUvH}UfIgh@fQqh@hQuVpIyTtH
2172.0	79.0	1050.0	79.0	1	ly|gVqbsdFvDeD
2373.0	79.0	1060.0	79.0	1	~kygVumodFrHgGzDgDpC}BnFkErFqExIgHvU}QbA_A
1305.0	79.0	2575.0	70.0	1	z_``U}x{iEeVbI
2211.0	79.0	1050.0	79.0	1	raogVmljdFsJx@}AN_ALm@Nc@Lq@Vs@Zo@`@u@l@gBzA
1303.0	0.0	1040.0	40.0	1	pn_`Ugo{iEdNwG
1304.0	0.0	1040.0	40.0	1	hl_`Ucn{iEfAc@
1306.0	0.0	1040.0	40.0	1	rj_`Uem{iEt@]
1309.0	0.0	1040.0	40.0	1	~b_`Ue`{iEJ_Cd@aBv@oAx@y@nAs@
2212.0	0.0	10.0	10.0	1	bqmgV{pjdFt@j@^RZNd@P`@Lf@Jj@Lh@Jx@Nz@P^LVLVPVTPVJPLXJ\DX@X?`@E\GVMZk@x@
2216.0	79.0	1050.0	79.0	1	zkmgV}kidFmC|B
2217.0	79.0	1050.0	79.0	1	hxlgVyzhdF`Aq@\S`@Qf@Op@Kj@Gx@Cv@@t@Fp@LbAXhBh@~@X
2218.0	79.0	1050.0	79.0	1	lgmgV_hidF?dCBj@FZVl@NVTZ^Zb@Z|Ar@
648.0	90.0	1055.0	90.0	1	dtjkUgloiEdN}P
2250.0	79.0	1050.0	79.0	1	pangV{~idFcP~M
